query
Underwater suvival game
strategy game
Pixel style farming game
Role playing game where you manage a bar
turn based game
open world survival game
Social VR Games
exploration and survival game
Half Life
Underwater suvival game like Subnautica
auutomation and base building game
Psychological Horror Game
Timeloop rpg with a pixel art style
first person shooter game
fishing simulater where you catch sharks
Game where you identify ghosts
Creature collection game like pokemon
Space exploration sandbox survival game
Space survival game on a hostile planet
Island survival game with base building
City-building strategy game
Colony management simulation game
Games like Terraria
Turn-based RPG with party management
Survival horror game with limited resources
Dungeons and Dragons themed RPG
Farming simulation game
Genetics simulator
Restaurant management simulator
Bar management tycoon game
First-person horror puzzle game
Automation factory-building game
Survival game where you are stranded on the island 
Zombie first person shooter game
Multiplayer climbing game
Zombie fps
mutiplayer game where you escape from forest
Couples couch coop game
economy development and city building game 
Social deduction game
action rouge-like game 
Minecraft
Block-based sandbox survival game
souls-like game
Metroidvania
fantasy game with open world 
plaftormer game
post apocalyptic game
Single player indie rpg about monsters
rpg game
single player futuristic fps
indie
Rougelike top down combat game featuring anthropomorphic animals
lifesim
soccer game
racing game
gran turismo
fifa
sports games
vr games
MOBA
realistic physics
sci-fi
